Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
RELIANCE,Reliance Industries Limited,157706937.768198
TCS,Tata Consultancy Services Limited,117305527.967007
HDFCBANK,HDFC Bank Limited,89808750.01206301
ICICIBANK,ICICI Bank Limited,61248250.4476975
HINDUNILVR,Hindustan Unilever Limited,60157759.876617
INFY,Infosys Limited,59239363.148297995
HDFC,Housing Development Finance Corporation Limited,48048335.387215
ITC,ITC Limited,47632201.21842
SBIN,State Bank of India,46742655.004325
BHARTIARTL,Bharti Airtel Limited,41757758.5285
KOTAKBANK,Kotak Mahindra Bank Limited,34423149.0679545
BAJFINANCE,Bajaj Finance Limited,34005446.4445275
LICI,Life Insurance Corporation Of India,33797625.215293504
LT,Larsen & Toubro Limited,30416456.170307998
HCLTECH,HCL Technologies Limited,29450050.45434
ASIANPAINT,Asian Paints Limited,26489685.767535
AXISBANK,Axis Bank Limited,26412099.823345
MARUTI,Maruti Suzuki India Limited,25048931.69529
SUNPHARMA,Sun Pharmaceutical Industries Limited,23587862.09007
TITAN,Titan Company Limited,22326934.13784
DMART,Avenue Supermarts Limited,22031141.128255498
ULTRACEMCO,UltraTech Cement Limited,22003819.6525775
BAJAJFINSV,Bajaj Finserv Limited,20173007.8009
WIPRO,Wipro Limited,20044619.5490025
ADANIENT,Adani Enterprises Limited,19955149.6225445
ONGC,Oil & Natural Gas Corporation Limited,19002511.740663
NTPC,NTPC Limited,16978862.400634
JSWSTEEL,JSW Steel Limited,16632893.84764
POWERGRID,Power Grid Corporation of India Limited,15743597.114048
M&M,Mahindra & Mahindra Limited,14408768.564797
LTIM,LTIMindtree Limited,14079902.960088
TATAMOTORS,Tata Motors Limited,13976216.9196
ADANIGREEN,Adani Green Energy Limited,13957702.179897
ADANIPORTS,Adani Ports and Special Economic Zone Limited,13649917.993455
COALINDIA,Coal India Limited,13166669.070635501
TATASTEEL,Tata Steel Limited,12771501.59835
HINDZINC,Hindustan Zinc Limited,12394973.2865
PIDILITIND,Pidilite Industries Limited,11960634.0672
SIEMENS,Siemens Limited,11848655.0642325
ADANITRANS,Adani Transmission Limited,11077400.0885315
SBILIFE,SBI Life Insurance Company Limited,11020676.345678998
IOC,Indian Oil Corporation Limited,11000444.700357
BAJAJ-AUTO,Bajaj Auto Limited,10992185.964905
GRASIM,Grasim Industries Limited,10750221.321201999
